ITEMNAME, MRP, OFFER,RATING
Purenut Filtered Groundnut Oil,160,12% OFF,4.2
Grofers Mother's Choice Kishmish/Raisins,255,30% OFF,4.1
Safe Harvest Pesticide Free Sharbati Sharbati Wheat,49,None,3.4
Nandini Pure Cow Ghee,490,,4.3
Grofers Mother's Choice Cumin Seeds/Jeera,90,25% OFF,4.2
Grofers Mother's Choice Cumin Seeds/Jeera,160,18% OFF,4.2
MTR Puliogare Powder,105,8% OFF,4.5
Grofers Mother's Choice Kachi Ghani Mustard Oil (Bottle),145,16% OFF,4
Family Farm Moong Dal (Dhuli),170,14% OFF,4.1
Family Farm Sugar,60,,4.3
Family Farm Malka Masoor,99,None,4.1
Tata Salt,20,15% OFF,4.4
Aashirvaad Shudh Chakki Whole Wheat Atta,490,21% OFF,4.2
Family Farm Arhar Dal/Toor Dal,120,14% OFF,4.1
Grofers Mother's Choice American Almonds,595,29% OFF,4.2
Family Farm Chana Dal,90,13% OFF,4.1
Safal Peanuts,200,25% OFF,4.3
Family Farm White Urad Gota/Gola,139,7% OFF,4
Chakki Atta,225,29% OFF,4.2
Chakki Atta,410,24% OFF,4.1
Family Farm Sooji/Rava,38,18% OFF,4.1
Family Farm Sooji/Rava,59,None,4.2
Grofers Mother's Choice Refined Sunflower Oil (Pouch),120,17% OFF,4
Family Farm Maida,36,33% OFF,4.2
Family Farm Maida,59,25% OFF,4.2
Sunpure Refined Sunflower Oil (Pouch),125,,4.3
Bhagyalakshmi Poha,42,None,4.3
Grofers Mother's Choice Kala Chana/Brown Chana,60,21% OFF,4.1
Family Farm Premium Arhar Dal/Toor Dal,130,16% OFF,3.7
Grofers Mother's Choice W320 Cashews,807,48% OFF,4.1
Grofers Mother's Choice W320 Cashews,324,47% OFF,4.1
Grofers Mother's Choice Small Black Mustard Seeds/Rai,25,None,4.1
Bhagyalakshmi Bansi Sooji/Rava,80,11% OFF,0
Bhagyalakshmi Bansi Sooji/Rava,36,None,4.4
Grofers Mother's Choice Methi Seeds,22,31% OFF,4.2
Family Farm Avalakki Thick Poha,60,None,4.1
Family Farm Besan,65,35% OFF,4.2
Family Farm Besan,99,20% OFF,4.1
GTS Super Vada Kolam Rice,2600,30% OFF,4.3
Family Farm Urad Dal (Dhuli),150,12% OFF,4
Fortune Sunlite Refined Sunflower Oil (Pouch),130,,4.3
Grofers Mother's Choice Black Peppercorns/Kali Mirch,145,50% OFF,4.1
Tata Sampann Unpolished Arhar Dal/Toor Dal,149,14% OFF,4.3
Everest Tikhalal Red Chilli Powder,38,None,4.3
Akar Crystal Salt,20,10% OFF,4.2
Patanjali Mustard Oil (Bottle),130,,4.4
Grofers Mother's Choice Kabuli Chana,95,33% OFF,4.1
Grofers Mother's Choice Kabuli Chana,180,28% OFF,4.2
Grofers Mother's Choice Plain Makhana/Foxnuts,140,22% OFF,4
Freedom Refined Sunflower Oil,114,8% OFF,4.3
Sunpure Health Rice Bran Oil (Pouch),120,,4.2
Grofers Mother's Choice Unpolished Green Moong (Sabut),195,22% OFF,4
Grofers Mother's Choice Unpolished Green Moong (Sabut),99,6% OFF,4.1
Grofers Mother's Choice Finest American Almonds,250,34% OFF,4.2
Grofers Mother's Choice Indian Green Kishmish/Raisins,165,55% OFF,4.1
Grofers Mother's Choice Jaggery,99,None,4
Grofers Mother's Choice Jaggery,50,None,4.1
Grofers Mother's Choice Fried Gram/Chana Roasted Dal,70,14% OFF,4.3
